source_key,title,subtitle,authors,isbn,publication_year,publisher,genres,cover_file,cover_width,cover_height,decision,reason
/books/OL54799817M,Hospes Draculae - Dracula's Guest,Bilingual Edition,"A. J. Alexander | Alex Stewart | Andrew Struthers | Anna Gasol Trullols | Anne Collins | Arthur Conan Doyle | B. Stoker | BRAM STOCKER - E. NOBATI | BRAM STOKER | Bi Classics | Bram BRAM STOKER | Bram Bram | Bram Bram Stoker | Bram Stocker | Bram Stoker | Bram Stoker | Bram Stoker (Auteur) | Bram Stolker | Bram Storker | Bram stoker | BramStoker | Braum Stoker | Bryan Hunt | Christina Widmann | Classic Collections | Classical Comics | Collectifs | D. P. Stevens Edition | Esis Nem | Fernando Fernández | Gustavo Aguilera | Heinz Widtmann | HellBound Books Publishing LLC | Hutchinson Emily | Julio Rodríguez Puértolas | M. Bram Stocker | M. Philippe Ballin | Maisha Books | Margaret Tarner | Mary Shelley | Matthew Corrigan | Moon Dragon | Mr Bram Stoker | Mrs Eve Paul-Margueritte in 1920 | Nik Maguire | Paper Mill Press Bram Stoker | Period Time Publishing | Robert Louis Stevenson | Si tuo ke | Stoker | Stoker, Bram, Hughs, William | Tabib Haider | Tor, Books, and Stoker, Bram | Warren Publishing Company | Yordi Abreu | bram stoker | bram stroker",9781977863126,2017,CreateSpace Independent Publishing Platform,Fiction,ol-cover-1738960.jpg,363,500,,
/books/OL60767024M,Balthasaris Castilionis comitis,"de curiali sive aulico libri quatuor : ex italico sermone in latinum conversi : Bartholomaeo Clerke Anglo. Acad. Cantabrigiensis, interprete : quibus additus est in fine aula dialogus, cum indice locupletissimo","A. J. Boscan | A. P. Castiglione | Antonio Ciccarelli | Baldassare Castiglione | Baldassarre Castiglione | Baldesar Castilgione | Bartholomew Clerke | Bernardino Baldi | Bernardino Marliani | Carlo Baudi Di Vesme Baldessar Castiglione | Conte Baldassarre Castiglione | G. Rigutini | Ghino Ghinassi | Giulio (ed.) Carnazzi | Giulio Preti | Giuseppe Rigutini | Guillaume de L'Isle | Henry Denham | Hoby, Thomas Sir | Janet E. Ashbee | Lodovico Dolce | Richard Field | Riviere & Son | Thomas Adams | Vittorio Cian | Vittorio Cian | William Seres",,1612,Typis R. Field] ex officina Thomae Adams,Histoire,ol-cover-14938039.jpg,328,500,,
/books/OL23323799M,"Orestea, Agamemnon, Choephori, Eumenides.","Recensuit, emendavit, explanavit Fredericus A. Paley.",Aeschylus,,1845,Apud J. et J.J. Deighton,Théâtre,ol-cover-6548168.jpg,287,500,,
/books/OL17025590M,Æsopi Phrygis Fabulæ,nunc demum ex collatione optimorum exemplarium ab infinitis penè mendis repurgatæ: unà cum nonnullis variorum auctorum fabulis adjectis. Et indice correctiori præfixo.,Aesop,,1759,"typis H. Woodfall, impensis Societatis Stationariorum",Fiction,ol-cover-5796201.jpg,356,500,,
/books/OL21650948M,Aesopi Phrygis fabulatoris celeberrimi lepidissimae fabulae Graecè & Latinè,nunceditae... cum aliis opusculis.,Aesop | Joseph Jacobs | Percy J. Billinghurst | Roger L'Estrange,,1709,Antonius Bortolius,Fiction | Histoire | Jeunesse,ol-cover-6028446.jpg,299,500,,
/books/OL6935713M,Corinne,"or, Italy.",Albertine-Adrienne Necker de Saussure | Arthur Manderley | Charles Augustin Sainte-Beuve | Creative Commons | Germaine de Staël | Isabel Hill | Isabel Hill | L. E. L. | Necker de Saussure,,1870,W. I. Pooley & co.,Arts | Fiction | Romance | Voyage,ol-cover-4168092.jpg,128,194,,
/books/OL7332414M,A Song of War,Readings from Vergil's Aeneid,Alexander G. McKay,9780130534507,2003,Pearson Prentice Hall,,ol-cover-4957393.jpg,128,184,,
/books/OL6777822M,Regulus,,Antoine de Saint-Exupéry,9780156014045,2001,Harcourt,Fantasy | Fiction | Philosophie | Théâtre,ol-cover-10708272.jpg,298,500,,
/books/OL26897665M,Regulus,Vel Pueri Soli Sapiunt,Antoine de Saint-Exupéry,9780156763004,1985,Hartcourt Brace & Company,,ol-cover-8575338.jpg,268,450,,
/books/OL13509642M,Acharnenses.,"Cum prolegomenis et commentariis, edidit J. van Leeuwen.",Aristophanes,,1901,A.W. Sijthoff,Biographie | Histoire | Théâtre,ol-cover-9041594.jpg,333,500,,
